display_year,survey_id,region,sex,sample_size,effort,bin,count
2010/11,onboard,All,F,,,40,0
2010/11,onboard,All,F,,,41,0
2010/11,onboard,All,F,,,42,0
2010/11,onboard,All,F,,,43,0
2010/11,onboard,All,F,,,44,0
2010/11,onboard,All,F,,,45,0
2010/11,onboard,All,F,,,46,0
2010/11,onboard,All,F,,,47,0
2010/11,onboard,All,F,,,48,0
2010/11,onboard,All,F,,,49,0
2010/11,onboard,All,F,,,50,0
2010/11,onboard,All,F,,,51,0
2010/11,onboard,All,F,,,52,0
2010/11,onboard,All,F,,,53,0
2010/11,onboard,All,F,,,54,0
2010/11,onboard,All,F,,,55,0
2010/11,onboard,All,F,,,56,0
2010/11,onboard,All,F,,,57,0
2010/11,onboard,All,F,,,58,0
2010/11,onboard,All,F,,,59,0
2010/11,onboard,All,F,,,60,0
2010/11,onboard,All,F,,,61,0
2010/11,onboard,All,F,,,62,0
2010/11,onboard,All,F,,,63,0
2010/11,onboard,All,F,,,64,0
2010/11,onboard,All,F,,,65,0
2010/11,onboard,All,F,,,66,0
2010/11,onboard,All,F,,,67,0
2010/11,onboard,All,F,,,68,0
2010/11,onboard,All,F,,,69,0
2010/11,onboard,All,F,,,70,0
2010/11,onboard,All,F,,,71,0
2010/11,onboard,All,F,,,72,0
2010/11,onboard,All,F,,,73,1.402524544
2010/11,onboard,All,F,,,74,0
2010/11,onboard,All,F,,,75,0
2010/11,onboard,All,F,,,76,0
2010/11,onboard,All,F,,,77,0
2010/11,onboard,All,F,,,78,0
2010/11,onboard,All,F,,,79,0
2010/11,onboard,All,F,,,80,0
2010/11,onboard,All,F,,,81,0
2010/11,onboard,All,F,,,82,0
2010/11,onboard,All,F,,,83,0
2010/11,onboard,All,F,,,84,0
2010/11,onboard,All,F,,,85,0
2010/11,onboard,All,F,,,86,1.402524544
2010/11,onboard,All,F,,,87,0
2010/11,onboard,All,F,,,88,0
2010/11,onboard,All,F,,,89,0
2010/11,onboard,All,F,,,90,0
2010/11,onboard,All,F,,,91,1.402524544
2010/11,onboard,All,F,,,92,0
2010/11,onboard,All,F,,,93,0
2010/11,onboard,All,F,,,94,2.805049088
2010/11,onboard,All,F,,,95,1.402524544
2010/11,onboard,All,F,,,96,0
2010/11,onboard,All,F,,,97,2.805049088
2010/11,onboard,All,F,,,98,0
2010/11,onboard,All,F,,,99,4.207573633
2010/11,onboard,All,F,,,100,1.402524544
2010/11,onboard,All,F,,,101,1.402524544
2010/11,onboard,All,F,,,102,5.610098177
2010/11,onboard,All,F,,,103,9.817671809
2010/11,onboard,All,F,,,104,21.03786816
2010/11,onboard,All,F,,,105,7.012622721
2010/11,onboard,All,F,,,106,8.415147265
2010/11,onboard,All,F,,,107,7.012622721
2010/11,onboard,All,F,,,108,12.6227209
2010/11,onboard,All,F,,,109,7.012622721
2010/11,onboard,All,F,,,110,4.207573633
2010/11,onboard,All,F,,,111,0
2010/11,onboard,All,F,,,112,5.610098177
2010/11,onboard,All,F,,,113,1.402524544
2010/11,onboard,All,F,,,114,7.012622721
2010/11,onboard,All,F,,,115,1.402524544
2010/11,onboard,All,F,,,116,4.207573633
2010/11,onboard,All,F,,,117,4.207573633
2010/11,onboard,All,F,,,118,1.402524544
2010/11,onboard,All,F,,,119,1.402524544
2010/11,onboard,All,F,,,120,1.402524544
2010/11,onboard,All,F,,,121,1.402524544
2010/11,onboard,All,F,,,122,1.402524544
2010/11,onboard,All,F,,,123,0
2010/11,onboard,All,F,,,124,1.402524544
2010/11,onboard,All,F,,,125,0
2010/11,onboard,All,F,,,126,1.402524544
2010/11,onboard,All,F,,,127,1.402524544
2010/11,onboard,All,F,,,128,0
2010/11,onboard,All,F,,,129,0
2010/11,onboard,All,F,,,130,0
2010/11,onboard,All,F,,,131,1.402524544
2010/11,onboard,All,F,,,132,2.805049088
2010/11,onboard,All,F,,,133,0
2010/11,onboard,All,F,,,134,0
2010/11,onboard,All,F,,,135,0
2010/11,onboard,All,F,,,136,0
2010/11,onboard,All,F,,,137,0
2010/11,onboard,All,F,,,138,1.402524544
2010/11,onboard,All,F,,,139,0
2010/11,onboard,All,F,,,140,1.402524544
2010/11,onboard,All,F,,,141,0
2010/11,onboard,All,F,,,142,0
2010/11,onboard,All,F,,,143,0
2010/11,onboard,All,F,,,144,0
2010/11,onboard,All,F,,,145,0
2010/11,onboard,All,F,,,146,2.805049088
2010/11,onboard,All,F,,,147,0
2010/11,onboard,All,F,,,148,0
2010/11,onboard,All,F,,,149,0
2010/11,onboard,All,F,,,150,0
2010/11,onboard,All,F,,,151,1.402524544
2010/11,onboard,All,F,,,152,0
2010/11,onboard,All,F,,,153,0
2010/11,onboard,All,F,,,154,2.805049088
2010/11,onboard,All,F,,,155,0
2010/11,onboard,All,F,,,156,1.402524544
2010/11,onboard,All,F,,,157,1.402524544
2010/11,onboard,All,F,,,158,0
2010/11,onboard,All,F,,,159,0
2010/11,onboard,All,F,,,160,0
2010/11,onboard,All,F,,,161,0
2010/11,onboard,All,F,,,162,0
2010/11,onboard,All,F,,,163,0
2010/11,onboard,All,F,,,164,1.402524544
2010/11,onboard,All,F,,,165,0
2010/11,onboard,All,F,,,166,0
