Quota Year,Period,TACC (t),TACC Caught (t),TACC Caught (%),Number of months fished,Number of active licenses,Number of vessels
2001/02,1 Nov - 31 Mar,42,,,,,
2002/03,1 Apr - 31 Mar,60,49.9,83,12,39,34
2003/04,1 Apr - 31 Mar,60,54.4,91,12,41,36
2004/05,1 Apr - 31 Mar,60,63.2,89,12,41,39
2005/06,1 Apr - 31 Mar,60,55.7,93,12,30,29
2006/07,1 Apr - 31 Mar,60,53.5,89,12,30,30
2007/08,1 Apr - 31 Mar,66,50.1,76,12,31,31
2008/09,1 Apr - 31 Mar,66,41.3,63,12,26,24
2009,1 Apr - 30 Jun,6.9,5.8,84,3,19,20
2009/10,1 Jul - 30 Jun,66,43.9,67,12,22,21
2010/11,1 Jul - 30 Jun,66,64.8,98,12,29,28
2011/12,1 Jul - 30 Jun,66,65.3,99,12,25,26
2012/13,1 Jul - 30 Jun,48,47.3,99,12,26,25
2013/14,1 Jul - 30 Jun,51,50.8,100,12,27,27
2014/15,1 Jul - 30 Jun,59,59,100,12,25,23
2015/16,1 Jul - 30 Jun,59,58,98,12,23,22
