display_year,region,value
1978/79,All,1.172776699
1979/80,All,1.104345891
1980/81,All,1.100527738
1981/82,All,1.106211101
1982/83,All,1.117677368
1983/84,All,1.120596848
1984/85,All,1.20057161
1985/86,All,1.222804372
1986/87,All,1.212006284
1987/88,All,1.185477486
1988/89,All,1.14268955
1989/90,All,1.044251174
1990/91,All,1.011504081
1991/92,All,1.05503055
1992/93,All,1.156176617
1993/94,All,1.263206988
1994/95,All,1.294861414
1995/96,All,1.259837513
1996/97,All,1.312574516
1997/98,All,1.277615527
1998/99,All,1.263280816
1999/00,All,1.16071559
2000/01,All,1.161464245
2001/02,All,1.139173458
2002/03,All,1.158181204
2003/04,All,1.159971861
2004/05,All,1.217028381
2005/06,All,1.178943396
2006/07,All,1.189297415
2007/08,All,1.245715492
2008/09,All,1.307300343
2009/10,All,1.200602183
2010/11,All,1.108333333
2011/12,All,1.140265713
2012/13,All,1.209699769
2013/14,All,1.315880759
2014/15,All,1.37815775
2015/16,All,1.400491803
1978/79,Lakes Entrance,1.169261214
1979/80,Lakes Entrance,1.28587963
1980/81,Lakes Entrance,1.145747126
1981/82,Lakes Entrance,1.190828402
1982/83,Lakes Entrance,1.19744898
1983/84,Lakes Entrance,1.260752688
1984/85,Lakes Entrance,1.221484375
1985/86,Lakes Entrance,1.314199396
1986/87,Lakes Entrance,1.318348624
1987/88,Lakes Entrance,1.15308642
1988/89,Lakes Entrance,1.17
1989/90,Lakes Entrance,1.098969072
1990/91,Lakes Entrance,1.158481013
1991/92,Lakes Entrance,1.312156863
1992/93,Lakes Entrance,1.337586207
1993/94,Lakes Entrance,1.289215686
1994/95,Lakes Entrance,1.319078947
1995/96,Lakes Entrance,1.109183673
1996/97,Lakes Entrance,1.224561404
1997/98,Lakes Entrance,1.221105528
1998/99,Lakes Entrance,1.283183857
1999/00,Lakes Entrance,1.19701897
2000/01,Lakes Entrance,1.172135417
2001/02,Lakes Entrance,1.20718232
2002/03,Lakes Entrance,1.19244186
2003/04,Lakes Entrance,1.345
2004/05,Lakes Entrance,1.287861272
2005/06,Lakes Entrance,1.306818182
2006/07,Lakes Entrance,1.150515464
2007/08,Lakes Entrance,1.318390805
2008/09,Lakes Entrance,1.705084746
2009/10,Lakes Entrance,1.481818182
2010/11,Lakes Entrance,1.64122807
2011/12,Lakes Entrance,1.382417582
2012/13,Lakes Entrance,1.359090909
2013/14,Lakes Entrance,1.3625
2014/15,Lakes Entrance,1.311428571
2015/16,Lakes Entrance,1.281818182
1978/79,San Remo,1.421385421
1979/80,San Remo,1.295135135
1980/81,San Remo,1.276727562
1981/82,San Remo,1.310573199
1982/83,San Remo,1.270665664
1983/84,San Remo,1.278918919
1984/85,San Remo,1.335964083
1985/86,San Remo,1.369323671
1986/87,San Remo,1.34676512
1987/88,San Remo,1.309017133
1988/89,San Remo,1.20617284
1989/90,San Remo,1.155036408
1990/91,San Remo,1.134949179
1991/92,San Remo,1.257051865
1992/93,San Remo,1.305452775
1993/94,San Remo,1.478864629
1994/95,San Remo,1.502297234
1995/96,San Remo,1.45675307
1996/97,San Remo,1.558689116
1997/98,San Remo,1.526425955
1998/99,San Remo,1.481871974
1999/00,San Remo,1.454948805
2000/01,San Remo,1.480206897
2001/02,San Remo,1.449575372
2002/03,San Remo,1.372597403
2003/04,San Remo,1.51894061
2004/05,San Remo,1.540056022
2005/06,San Remo,1.37005291
2006/07,San Remo,1.429839572
2007/08,San Remo,1.519102417
2008/09,San Remo,1.559491979
2009/10,San Remo,1.454025424
2010/11,San Remo,1.350675676
2011/12,San Remo,1.362316476
2012/13,San Remo,1.3875
2013/14,San Remo,1.48288854
2014/15,San Remo,1.625230203
2015/16,San Remo,1.673201439
1978/79,Queenscliff,1.025561188
1979/80,Queenscliff,0.997633873
1980/81,Queenscliff,0.985296135
1981/82,Queenscliff,0.993685121
1982/83,Queenscliff,1.023012647
1983/84,Queenscliff,1.065622962
1984/85,Queenscliff,1.119761837
1985/86,Queenscliff,1.138866012
1986/87,Queenscliff,1.134522111
1987/88,Queenscliff,1.142787682
1988/89,Queenscliff,1.103931947
1989/90,Queenscliff,0.986413946
1990/91,Queenscliff,0.945227964
1991/92,Queenscliff,0.974156355
1992/93,Queenscliff,1.059168242
1993/94,Queenscliff,1.142520443
1994/95,Queenscliff,1.170660147
1995/96,Queenscliff,1.197206561
1996/97,Queenscliff,1.197620519
1997/98,Queenscliff,1.131538213
1998/99,Queenscliff,1.128899676
1999/00,Queenscliff,1.002357505
2000/01,Queenscliff,1.026390498
2001/02,Queenscliff,1.00743623
2002/03,Queenscliff,1.073363095
2003/04,Queenscliff,1.04
2004/05,Queenscliff,1.101802657
2005/06,Queenscliff,1.060296846
2006/07,Queenscliff,1.060349854
2007/08,Queenscliff,1.073106865
2008/09,Queenscliff,1.13541329
2009/10,Queenscliff,1.04985021
2010/11,Queenscliff,0.917496542
2011/12,Queenscliff,1.014046289
2012/13,Queenscliff,1.098204159
2013/14,Queenscliff,1.217232143
2014/15,Queenscliff,1.27025
2015/16,Queenscliff,1.281456954
