display_year,survey_id,region,value
1978/79,biomass,All,405646
1979/80,biomass,All,409321
1980/81,biomass,All,386196
1981/82,biomass,All,378322
1982/83,biomass,All,381608
1983/84,biomass,All,354933
1984/85,biomass,All,312078
1985/86,biomass,All,280202
1986/87,biomass,All,256663
1987/88,biomass,All,233864
1988/89,biomass,All,230215
1989/90,biomass,All,224073
1990/91,biomass,All,218288
1991/92,biomass,All,216865
1992/93,biomass,All,216699
1993/94,biomass,All,211126
1994/95,biomass,All,205730
1995/96,biomass,All,206259
1996/97,biomass,All,207304
1997/98,biomass,All,197912
1998/99,biomass,All,200364
1999/00,biomass,All,205092
2000/01,biomass,All,200468
2001/02,biomass,All,210557
2002/03,biomass,All,189686
2003/04,biomass,All,207523
2004/05,biomass,All,210789
2005/06,biomass,All,205476
2006/07,biomass,All,196987
2007/08,biomass,All,187315
2008/09,biomass,All,187211
2009/10,biomass,All,202969
2010/11,biomass,All,225857
2011/12,biomass,All,243130
2012/13,biomass,All,260959
2013/14,biomass,All,268018
2014/15,biomass,All,252488
2015/16,biomass,All,232673
1978/79,exploitation,All,0.342841
1979/80,exploitation,All,0.282304
1980/81,exploitation,All,0.345333
1981/82,exploitation,All,0.345843
1982/83,exploitation,All,0.375021
1983/84,exploitation,All,0.384476
1984/85,exploitation,All,0.361849
1985/86,exploitation,All,0.337888
1986/87,exploitation,All,0.302888
1987/88,exploitation,All,0.299251
1988/89,exploitation,All,0.276181
1989/90,exploitation,All,0.372174
1990/91,exploitation,All,0.327681
1991/92,exploitation,All,0.29771
1992/93,exploitation,All,0.3202
1993/94,exploitation,All,0.372852
1994/95,exploitation,All,0.349997
1995/96,exploitation,All,0.275023
1996/97,exploitation,All,0.288431
1997/98,exploitation,All,0.335064
1998/99,exploitation,All,0.335734
1999/00,exploitation,All,0.36389
2000/01,exploitation,All,0.362397
2001/02,exploitation,All,0.25387
2002/03,exploitation,All,0.276362
2003/04,exploitation,All,0.267638
2004/05,exploitation,All,0.259824
2005/06,exploitation,All,0.254419
2006/07,exploitation,All,0.273379
2007/08,exploitation,All,0.245405
2008/09,exploitation,All,0.210843
2009/10,exploitation,All,0.271884
2010/11,exploitation,All,0.290746
2011/12,exploitation,All,0.25349
2012/13,exploitation,All,0.183944
2013/14,exploitation,All,0.219433
2014/15,exploitation,All,0.224894
2015/16,exploitation,All,0.199461
