display_year,year_type,region,data_type,value
1978/79,fin,Lakes Entrance,catch,30559
1979/80,fin,Lakes Entrance,catch,20237
1980/81,fin,Lakes Entrance,catch,20321
1981/82,fin,Lakes Entrance,catch,17912
1982/83,fin,Lakes Entrance,catch,12057
1983/84,fin,Lakes Entrance,catch,11681
1984/85,fin,Lakes Entrance,catch,18582
1985/86,fin,Lakes Entrance,catch,18764
1986/87,fin,Lakes Entrance,catch,12827
1987/88,fin,Lakes Entrance,catch,14356
1988/89,fin,Lakes Entrance,catch,18090
1989/90,fin,Lakes Entrance,catch,14194
1990/91,fin,Lakes Entrance,catch,14669
1991/92,fin,Lakes Entrance,catch,5921
1992/93,fin,Lakes Entrance,catch,7624
1993/94,fin,Lakes Entrance,catch,7363
1994/95,fin,Lakes Entrance,catch,12634
1995/96,fin,Lakes Entrance,catch,6025
1996/97,fin,Lakes Entrance,catch,11788
1997/98,fin,Lakes Entrance,catch,12206
1998/99,fin,Lakes Entrance,catch,10069
1999/00,fin,Lakes Entrance,catch,7110
2000/01,fin,Lakes Entrance,catch,10057
2001/02,fin,Lakes Entrance,catch,3512
2002/03,fin,Lakes Entrance,catch,5279
2003/04,fin,Lakes Entrance,catch,2742
2004/05,fin,Lakes Entrance,catch,4482
2005/06,fin,Lakes Entrance,catch,2168
2006/07,fin,Lakes Entrance,catch,2490
2007/08,fin,Lakes Entrance,catch,1848
2008/09,fin,Lakes Entrance,catch,1275
2009/10,fin,Lakes Entrance,catch,1358
2010/11,fin,Lakes Entrance,catch,2621
2011/12,fin,Lakes Entrance,catch,1518
2012/13,fin,Lakes Entrance,catch,1075
2013/14,fin,Lakes Entrance,catch,1749
2014/15,fin,Lakes Entrance,catch,1985
2015/16,fin,Lakes Entrance,catch,2793
1978/79,fin,San Remo,catch,46310
1979/80,fin,San Remo,catch,39453
1980/81,fin,San Remo,catch,47230
1981/82,fin,San Remo,catch,51049
1982/83,fin,San Remo,catch,61633
1983/84,fin,San Remo,catch,43962
1984/85,fin,San Remo,catch,42109
1985/86,fin,San Remo,catch,32980
1986/87,fin,San Remo,catch,26130
1987/88,fin,San Remo,catch,20989
1988/89,fin,San Remo,catch,16375
1989/90,fin,San Remo,catch,19289
1990/91,fin,San Remo,catch,16694
1991/92,fin,San Remo,catch,16384
1992/93,fin,San Remo,catch,23936
1993/94,fin,San Remo,catch,33097
1994/95,fin,San Remo,catch,28475
1995/96,fin,San Remo,catch,19468
1996/97,fin,San Remo,catch,19230
1997/98,fin,San Remo,catch,25480
1998/99,fin,San Remo,catch,23494
1999/00,fin,San Remo,catch,23752
2000/01,fin,San Remo,catch,20242
2001/02,fin,San Remo,catch,16942
2002/03,fin,San Remo,catch,13978
2003/04,fin,San Remo,catch,13359
2004/05,fin,San Remo,catch,12119
2005/06,fin,San Remo,catch,22677
2006/07,fin,San Remo,catch,21458
2007/08,fin,San Remo,catch,19397
2008/09,fin,San Remo,catch,19565
2009/10,fin,San Remo,catch,20156
2010/11,fin,San Remo,catch,25189
2011/12,fin,San Remo,catch,26365
2012/13,fin,San Remo,catch,17004
2013/14,fin,San Remo,catch,18036
2014/15,fin,San Remo,catch,15362
2015/16,fin,San Remo,catch,16915
1978/79,fin,Queenscliff,catch,68474
1979/80,fin,Queenscliff,catch,73480
1980/81,fin,Queenscliff,catch,80362
1981/82,fin,Queenscliff,catch,72382
1982/83,fin,Queenscliff,catch,77702
1983/84,fin,Queenscliff,catch,92062
1984/85,fin,Queenscliff,catch,67562
1985/86,fin,Queenscliff,catch,49857
1986/87,fin,Queenscliff,catch,40650
1987/88,fin,Queenscliff,catch,47840
1988/89,fin,Queenscliff,catch,32685
1989/90,fin,Queenscliff,catch,63049
1990/91,fin,Queenscliff,catch,49777
1991/92,fin,Queenscliff,catch,47635
1992/93,fin,Queenscliff,catch,39548
1993/94,fin,Queenscliff,catch,42842
1994/95,fin,Queenscliff,catch,33713
1995/96,fin,Queenscliff,catch,33323
1996/97,fin,Queenscliff,catch,27211
1997/98,fin,Queenscliff,catch,28818
1998/99,fin,Queenscliff,catch,30872
1999/00,fin,Queenscliff,catch,43207
2000/01,fin,Queenscliff,catch,42295
2001/02,fin,Queenscliff,catch,36890
2002/03,fin,Queenscliff,catch,34155
2003/04,fin,Queenscliff,catch,36563
2004/05,fin,Queenscliff,catch,40096
2005/06,fin,Queenscliff,catch,27868
2006/07,fin,Queenscliff,catch,30472
2007/08,fin,Queenscliff,catch,26011
2008/09,fin,Queenscliff,catch,21177
2009/10,fin,Queenscliff,catch,22228
2010/11,fin,Queenscliff,catch,37285
2011/12,fin,Queenscliff,catch,37238
2012/13,fin,Queenscliff,catch,29880
2013/14,fin,Queenscliff,catch,30900
2014/15,fin,Queenscliff,catch,41788
2015/16,fin,Queenscliff,catch,38604
2009/10,fin,All,TAC,66000
2010/11,fin,All,TAC,66000
2011/12,fin,All,TAC,66000
2012/13,fin,All,TAC,48000
2013/14,fin,All,TAC,51000
2014/15,fin,All,TAC,59000
2015/16,fin,All,TAC,59000
