display_year,region,value
1978/79,All,33.49890302
1979/80,All,33.27895792
1980/81,All,34.29445063
1981/82,All,34.41947719
1982/83,All,33.66855209
1983/84,All,31.48974156
1984/85,All,28.26452974
1985/86,All,24.88964805
1986/87,All,22.38267761
1987/88,All,21.16593113
1988/89,All,20.31928692
1989/90,All,20.30449397
1990/91,All,19.10013875
1991/92,All,18.84047892
1992/93,All,19.18381466
1993/94,All,19.21879564
1994/95,All,18.34232188
1995/96,All,17.54249302
1996/97,All,17.67131353
1997/98,All,18.2011449
1998/99,All,18.59971926
1999/00,All,19.02276291
2000/01,All,19.05137422
2001/02,All,19.23076923
2002/03,All,20.54643706
2003/04,All,21.31455679
2004/05,All,21.66370529
2005/06,All,21.57473873
2006/07,All,21.23658923
2007/08,All,20.60647905
2008/09,All,21.2630077
2009/10,All,23.479723
2010/11,All,25.46803511
2011/12,All,26.25220084
2012/13,All,26.51652481
2013/14,All,27.06894588
2014/15,All,26.87507118
2015/16,All,26.61791745
