year,display_year,survey_id,region,fleet,species,factor_1,factor_2,value,error
1978,1978/79,egg_prod,All,Pot,Lobster,,,33.49890302,
1979,1979/80,egg_prod,All,Pot,Lobster,,,33.27895792,
1980,1980/81,egg_prod,All,Pot,Lobster,,,34.29445063,
1981,1981/82,egg_prod,All,Pot,Lobster,,,34.41947719,
1982,1982/83,egg_prod,All,Pot,Lobster,,,33.66855209,
1983,1983/84,egg_prod,All,Pot,Lobster,,,31.48974156,
1984,1984/85,egg_prod,All,Pot,Lobster,,,28.26452974,
1985,1985/86,egg_prod,All,Pot,Lobster,,,24.88964805,
1986,1986/87,egg_prod,All,Pot,Lobster,,,22.38267761,
1987,1987/88,egg_prod,All,Pot,Lobster,,,21.16593113,
1988,1988/89,egg_prod,All,Pot,Lobster,,,20.31928692,
1989,1989/90,egg_prod,All,Pot,Lobster,,,20.30449397,
1990,1990/91,egg_prod,All,Pot,Lobster,,,19.10013875,
1991,1991/92,egg_prod,All,Pot,Lobster,,,18.84047892,
1992,1992/93,egg_prod,All,Pot,Lobster,,,19.18381466,
1993,1993/94,egg_prod,All,Pot,Lobster,,,19.21879564,
1994,1994/95,egg_prod,All,Pot,Lobster,,,18.34232188,
1995,1995/96,egg_prod,All,Pot,Lobster,,,17.54249302,
1996,1996/97,egg_prod,All,Pot,Lobster,,,17.67131353,
1997,1997/98,egg_prod,All,Pot,Lobster,,,18.2011449,
1998,1998/99,egg_prod,All,Pot,Lobster,,,18.59971926,
1999,1999/00,egg_prod,All,Pot,Lobster,,,19.02276291,
2000,2000/01,egg_prod,All,Pot,Lobster,,,19.05137422,
2001,2001/02,egg_prod,All,Pot,Lobster,,,19.23076923,
2002,2002/03,egg_prod,All,Pot,Lobster,,,20.54643706,
2003,2003/04,egg_prod,All,Pot,Lobster,,,21.31455679,
2004,2004/05,egg_prod,All,Pot,Lobster,,,21.66370529,
2005,2005/06,egg_prod,All,Pot,Lobster,,,21.57473873,
2006,2006/07,egg_prod,All,Pot,Lobster,,,21.23658923,
