display_year,region,subgroup,sex,value
2004/05,All,Adult,Female,0.162180814
2005/06,All,Adult,Female,0.148335745
2006/07,All,Adult,Female,0.138415246
2007/08,All,Adult,Female,0.166197183
2008/09,All,Adult,Female,0.184222124
2009/10,All,Adult,Female,0.125
2010/11,All,Adult,Female,0.1
2011/12,All,Adult,Female,0.246153846
2012/13,All,Adult,Female,0.557471264
2013/14,All,Adult,Female,0.535279805
2014/15,All,Adult,Female,0.369565217
2015/16,All,Adult,Female,0.455835962
2004/05,All,Adult,Male,0.210144928
2005/06,All,Adult,Male,0.165219489
2006/07,All,Adult,Male,0.141758609
2007/08,All,Adult,Male,0.230985915
2008/09,All,Adult,Male,0.167915381
2009/10,All,Adult,Male,0.181034483
2010/11,All,Adult,Male,0.207042254
2011/12,All,Adult,Male,0.234615385
2012/13,All,Adult,Male,0.505747126
2013/14,All,Adult,Male,0.396593674
2014/15,All,Adult,Male,0.406086957
2015/16,All,Adult,Male,0.271293375
2004/05,All,Juvenile,Female,0.025189786
2005/06,All,Juvenile,Female,0.027978775
2006/07,All,Juvenile,Female,0.032096289
2007/08,All,Juvenile,Female,0.008450704
2008/09,All,Juvenile,Female,0.04583517
2009/10,All,Juvenile,Female,0.038793103
2010/11,All,Juvenile,Female,0.054929577
2011/12,All,Juvenile,Female,0.092307692
2012/13,All,Juvenile,Female,0.086206897
2013/14,All,Juvenile,Female,0.082725061
2014/15,All,Juvenile,Female,0.045217391
2015/16,All,Juvenile,Female,0.017350158
2004/05,All,Juvenile,Male,0.041752933
2005/06,All,Juvenile,Male,0.043656536
2006/07,All,Juvenile,Male,0.048144433
2007/08,All,Juvenile,Male,0.028169014
2008/09,All,Juvenile,Male,0.05068312
2009/10,All,Juvenile,Male,0.129310345
2010/11,All,Juvenile,Male,0.067605634
2011/12,All,Juvenile,Male,0.086538462
2012/13,All,Juvenile,Male,0.114942529
2013/14,All,Juvenile,Male,0.058394161
2014/15,All,Juvenile,Male,0.017391304
2015/16,All,Juvenile,Male,0.022082019
