display_year,region,value
1978/79,All,1.655559669
1979/80,All,2.345513963
1980/81,All,1.326744695
1981/82,All,0.96753673
1982/83,All,0.919221092
1983/84,All,0.644366395
1984/85,All,0.725561146
1985/86,All,0.738967761
1986/87,All,1.097946826
1987/88,All,0.943057019
1988/89,All,0.847292072
1989/90,All,0.778423015
1990/91,All,1.118539985
1991/92,All,0.910072993
1992/93,All,0.774981549
1993/94,All,0.721350318
1994/95,All,0.733591763
1995/96,All,0.860175712
1996/97,All,1.30773318
1997/98,All,0.774851997
1998/99,All,1.068110191
1999/00,All,0.783946051
2000/01,All,1.334104505
2001/02,All,0.719241724
2002/03,All,0.605280722
2003/04,All,0.614763431
2004/05,All,0.587195938
2005/06,All,0.525493555
2006/07,All,0.785613533
2007/08,All,1.741222762
2008/09,All,1.227379323
2009/10,All,0.815667147
2010/11,All,0.734026516
2011/12,All,0.575341559
2012/13,All,0.402633224
2013/14,All,0.595704227
2014/15,All,0.895623605
2015/16,All,1.030301755
