display_year,region,value
1978/79,All,0.672340129
1979/80,All,0.693846446
1980/81,All,0.687860124
1981/82,All,0.644532353
1982/83,All,0.677203471
1983/84,All,0.573447529
1984/85,All,0.605954816
1985/86,All,0.578670547
1986/87,All,0.538710318
1987/88,All,0.561056395
1988/89,All,0.490929081
1989/90,All,0.455939111
1990/91,All,0.451034648
1991/92,All,0.373416793
1992/93,All,0.312209074
1993/94,All,0.312775361
1994/95,All,0.298049961
1995/96,All,0.287080756
1996/97,All,0.300885185
1997/98,All,0.316742003
1998/99,All,0.325679909
1999/00,All,0.336701133
2000/01,All,0.343509012
2001/02,All,0.369776411
2002/03,All,0.40756005
2003/04,All,0.422087806
2004/05,All,0.418642047
2005/06,All,0.429236084
2006/07,All,0.403704879
2007/08,All,0.380786035
2008/09,All,0.367091043
2009/10,All,0.389194548
2010/11,All,0.453904679
2011/12,All,0.513008508
2012/13,All,0.519612798
2013/14,All,0.515573145
2014/15,All,0.528422923
2015/16,All,0.443515187
1978/79,Lakes Entrance,1.187366274
1979/80,Lakes Entrance,1.254815397
1980/81,Lakes Entrance,1.349149156
1981/82,Lakes Entrance,1.394289948
1982/83,Lakes Entrance,1.89280123
1983/84,Lakes Entrance,1.503772104
1984/85,Lakes Entrance,1.831001299
1985/86,Lakes Entrance,1.549087646
1986/87,Lakes Entrance,1.686287805
1987/88,Lakes Entrance,1.537687435
1988/89,Lakes Entrance,1.267968642
1989/90,Lakes Entrance,1.125425591
1990/91,Lakes Entrance,1.216439424
1991/92,Lakes Entrance,0.723553506
1992/93,Lakes Entrance,0.645933487
1993/94,Lakes Entrance,0.572401384
1994/95,Lakes Entrance,0.545096548
1995/96,Lakes Entrance,0.564570828
1996/97,Lakes Entrance,0.682569634
1997/98,Lakes Entrance,0.634873175
1998/99,Lakes Entrance,0.52739099
1999/00,Lakes Entrance,0.526263676
2000/01,Lakes Entrance,0.647074822
2001/02,Lakes Entrance,0.58743325
2002/03,Lakes Entrance,0.703444266
2003/04,Lakes Entrance,0.633357448
2004/05,Lakes Entrance,0.711407986
2005/06,Lakes Entrance,0.687327749
2006/07,Lakes Entrance,0.529961013
2007/08,Lakes Entrance,0.590254649
2008/09,Lakes Entrance,0.569196551
2009/10,Lakes Entrance,0.706189915
2010/11,Lakes Entrance,0.28477979
2011/12,Lakes Entrance,0.395312549
2012/13,Lakes Entrance,0.362755327
2013/14,Lakes Entrance,0.486517707
2014/15,Lakes Entrance,0.542181768
2015/16,Lakes Entrance,0.551818305
1978/79,San Remo,0.618550045
1979/80,San Remo,0.60887216
1980/81,San Remo,0.676781832
1981/82,San Remo,0.734802265
1982/83,San Remo,0.712472107
1983/84,San Remo,0.536129235
1984/85,San Remo,0.544728854
1985/86,San Remo,0.506603877
1986/87,San Remo,0.496639587
1987/88,San Remo,0.429497811
1988/89,San Remo,0.308580541
1989/90,San Remo,0.290509743
1990/91,San Remo,0.350223502
1991/92,San Remo,0.32573251
1992/93,San Remo,0.315881102
1993/94,San Remo,0.309313034
1994/95,San Remo,0.294832755
1995/96,San Remo,0.270499675
1996/97,San Remo,0.264461169
1997/98,San Remo,0.29477397
1998/99,San Remo,0.271299009
1999/00,San Remo,0.269264163
2000/01,San Remo,0.310649966
2001/02,San Remo,0.334957388
2002/03,San Remo,0.331080599
2003/04,San Remo,0.393432966
2004/05,San Remo,0.403309357
2005/06,San Remo,0.488066027
2006/07,San Remo,0.434467444
2007/08,San Remo,0.403536838
2008/09,San Remo,0.405363764
2009/10,San Remo,0.421622035
2010/11,San Remo,0.47598425
2011/12,San Remo,0.586331651
2012/13,San Remo,0.483827176
2013/14,San Remo,0.482690131
2014/15,San Remo,0.48986607
2015/16,San Remo,0.380577215
1978/79,Queenscliff,0.614123422
1979/80,Queenscliff,0.660388208
1980/81,Queenscliff,0.620921959
1981/82,Queenscliff,0.540628317
1982/83,Queenscliff,0.595550288
1983/84,Queenscliff,0.552078099
1984/85,Queenscliff,0.489637853
1985/86,Queenscliff,0.45820362
1986/87,Queenscliff,0.471572179
1987/88,Queenscliff,0.492163008
1988/89,Queenscliff,0.446991093
1989/90,Queenscliff,0.441074572
1990/91,Queenscliff,0.41278415
1991/92,Queenscliff,0.362707701
1992/93,Queenscliff,0.284270702
1993/94,Queenscliff,0.295105874
1994/95,Queenscliff,0.259176887
1995/96,Queenscliff,0.27310215
1996/97,Queenscliff,0.268108653
1997/98,Queenscliff,0.29128403
1998/99,Queenscliff,0.329385402
1999/00,Queenscliff,0.350687232
2000/01,Queenscliff,0.324363828
2001/02,Queenscliff,0.366923469
2002/03,Queenscliff,0.410587599
2003/04,Queenscliff,0.416160345
2004/05,Queenscliff,0.399572186
2005/06,Queenscliff,0.381003413
2006/07,Queenscliff,0.377744258
2007/08,Queenscliff,0.354064328
2008/09,Queenscliff,0.333583906
2009/10,Queenscliff,0.362957678
2010/11,Queenscliff,0.455085776
2011/12,Queenscliff,0.487417819
2012/13,Queenscliff,0.55122322
2013/14,Queenscliff,0.536220923
2014/15,Queenscliff,0.545492161
2015/16,Queenscliff,0.468118938
