year,display_year,year_type,region,fleet,species,catch
1978,1978/79,fin,Lakes Entrance,Pot,Lobster,30559
1979,1979/80,fin,Lakes Entrance,Pot,Lobster,20237
1980,1980/81,fin,Lakes Entrance,Pot,Lobster,20321
1981,1981/82,fin,Lakes Entrance,Pot,Lobster,17912
1982,1982/83,fin,Lakes Entrance,Pot,Lobster,12057
1983,1983/84,fin,Lakes Entrance,Pot,Lobster,11681
1984,1984/85,fin,Lakes Entrance,Pot,Lobster,18582
1985,1985/86,fin,Lakes Entrance,Pot,Lobster,18764
1986,1986/87,fin,Lakes Entrance,Pot,Lobster,12827
1987,1987/88,fin,Lakes Entrance,Pot,Lobster,14356
1988,1988/89,fin,Lakes Entrance,Pot,Lobster,18090
1989,1989/90,fin,Lakes Entrance,Pot,Lobster,14194
1990,1990/91,fin,Lakes Entrance,Pot,Lobster,14669
1991,1991/92,fin,Lakes Entrance,Pot,Lobster,5921
1992,1992/93,fin,Lakes Entrance,Pot,Lobster,7624
1993,1993/94,fin,Lakes Entrance,Pot,Lobster,7363
1994,1994/95,fin,Lakes Entrance,Pot,Lobster,12634
1995,1995/96,fin,Lakes Entrance,Pot,Lobster,6025
1996,1996/97,fin,Lakes Entrance,Pot,Lobster,11788
1997,1997/98,fin,Lakes Entrance,Pot,Lobster,12206
1998,1998/99,fin,Lakes Entrance,Pot,Lobster,10069
1999,1999/00,fin,Lakes Entrance,Pot,Lobster,7110
2000,2000/01,fin,Lakes Entrance,Pot,Lobster,10057
2001,2001/02,fin,Lakes Entrance,Pot,Lobster,3512
2002,2002/03,fin,Lakes Entrance,Pot,Lobster,5279
2003,2003/04,fin,Lakes Entrance,Pot,Lobster,2742
2004,2004/05,fin,Lakes Entrance,Pot,Lobster,4482
2005,2005/06,fin,Lakes Entrance,Pot,Lobster,2168
2006,2006/07,fin,Lakes Entrance,Pot,Lobster,2490
2007,2007/08,fin,Lakes Entrance,Pot,Lobster,1848
2008,2008/09,fin,Lakes Entrance,Pot,Lobster,1275
2009,2009/10,fin,Lakes Entrance,Pot,Lobster,1358
2010,2010/11,fin,Lakes Entrance,Pot,Lobster,2621
2011,2011/12,fin,Lakes Entrance,Pot,Lobster,1518
2012,2012/13,fin,Lakes Entrance,Pot,Lobster,1075
2013,2013/14,fin,Lakes Entrance,Pot,Lobster,1749
2014,2014/15,fin,Lakes Entrance,Pot,Lobster,1985
2015,2015/16,fin,Lakes Entrance,Pot,Lobster,2793
1978,1978/79,fin,San Remo,Pot,Lobster,46310
