year,size_class,actual,estimate
1951,size_1,0.06658072,0.11699181
1955,size_1,0.0875948,0.09630533
1959,size_1,0.09634442,0.09400779
1963,size_1,0.11255383,0.1232826
1967,size_1,0.12512145,0.16943877
1971,size_1,0.20381893,0.2359434
1975,size_1,0.13459455,0.15021438
1979,size_1,0.11614955,0.15646489
1983,size_1,0.21356126,0.18288328
1987,size_1,0.11312948,0.14446308
1991,size_1,0.20577409,0.20429959
1995,size_1,0.12866592,0.13859873
1999,size_1,0.17485667,0.21661958
2003,size_1,0.08647876,0.11779334
2007,size_1,0.13457691,0.15613341
2011,size_1,0.13604306,0.16770764
2015,size_1,0.1674811,0.15331621
1951,size_2,0.07182653,0.12318648
1955,size_2,0.08056446,0.08982403
1959,size_2,0.0956423,0.09784214
1963,size_2,0.11022588,0.13334632
1967,size_2,0.14160353,0.16856077
1971,size_2,0.13880842,0.16995578
1975,size_2,0.13770537,0.16479429
1979,size_2,0.10793284,0.13527208
1983,size_2,0.15916625,0.17292222
1987,size_2,0.12272863,0.16814926
1991,size_2,0.19073204,0.18841282
1995,size_2,0.14671775,0.15499433
1999,size_2,0.16753383,0.22576933
2003,size_2,0.10070991,0.11949054
2007,size_2,0.16305706,0.17852523
2011,size_2,0.17795269,0.1900309
2015,size_2,0.10699937,0.13363932
1951,size_3,0.08243515,0.1342783
1955,size_3,0.08411069,0.1006791
1959,size_3,0.11271448,0.1162427
1963,size_3,0.11124949,0.1496502
1967,size_3,0.14989103,0.1638519
1971,size_3,0.12887166,0.1450505
1975,size_3,0.15544907,0.1858659
1979,size_3,0.11844253,0.1329899
1983,size_3,0.13579525,0.1648073
1987,size_3,0.15389525,0.1927259
1991,size_3,0.16254581,0.1688777
1995,size_3,0.17999219,0.1777864
1999,size_3,0.17077473,0.1911046
2003,size_3,0.13027277,0.1430855
2007,size_3,0.19645511,0.1938003
2011,size_3,0.17671609,0.189248
2015,size_3,0.09812893,0.1329442
1951,size_4,0.1056839,0.1530275
1955,size_4,0.103787,0.1434748
1959,size_4,0.1364795,0.1452594
1963,size_4,0.1325726,0.1578808
1967,size_4,0.1494558,0.1574317
1971,size_4,0.1370367,0.1464293
1975,size_4,0.1890738,0.2015225
1979,size_4,0.1567486,0.1569069
1983,size_4,0.1285023,0.1619041
1987,size_4,0.2035005,0.1933608
1991,size_4,0.1381144,0.1498571
1995,size_4,0.1928669,0.1936289
1999,size_4,0.1575128,0.1398795
2003,size_4,0.1969226,0.1945823
2007,size_4,0.164501,0.173756
2011,size_4,0.156681,0.168918
2015,size_4,0.1335112,0.1619717
1951,size_5,0.1606753,0.1863579
1955,size_5,0.1566669,0.2159331
1959,size_5,0.1613977,0.1859173
1963,size_5,0.1758184,0.1613686
1967,size_5,0.1588507,0.1500961
1971,size_5,0.1614613,0.1502381
1975,size_5,0.1910546,0.1708968
1979,size_5,0.2201287,0.2046784
1983,size_5,0.1424705,0.1513802
1987,size_5,0.2086241,0.1637931
1991,size_5,0.1364086,0.1479799
1995,size_5,0.1865502,0.1838185
1999,size_5,0.1584043,0.1152013
2003,size_5,0.2432849,0.2351512
2007,size_5,0.140287,0.1431567
2011,size_5,0.1660879,0.149944
2015,size_5,0.2157314,0.2098382
1951,size_6,0.2156897,0.17137127
1955,size_6,0.2057394,0.21130964
1959,size_6,0.1731271,0.20343126
1963,size_6,0.174796,0.15182046
1967,size_6,0.1450643,0.11408953
1971,size_6,0.1348349,0.10092837
1975,size_6,0.1220376,0.08975496
1979,size_6,0.1868885,0.15475457
1983,size_6,0.13672,0.1117177
1987,size_6,0.1283139,0.0960189
1991,size_6,0.1111636,0.10108497
1995,size_6,0.1142972,0.10897523
1999,size_6,0.119179,0.07934498
2003,size_6,0.1683156,0.14068337
2007,size_6,0.1307217,0.10692844
2011,size_6,0.1240591,0.09495152
2015,size_6,0.1865468,0.14977697
1951,size_7,0.1436582,0.07532633
1955,size_7,0.13618423,0.09347756
1959,size_7,0.1091482,0.10145122
1963,size_7,0.09325278,0.07668726
1967,size_7,0.07136191,0.0483152
1971,size_7,0.05670434,0.03467263
1975,size_7,0.04517934,0.02664112
1979,size_7,0.06547833,0.04510211
1983,size_7,0.05834891,0.04049835
1987,size_7,0.04765637,0.03049712
1991,size_7,0.03942022,0.02994614
1995,size_7,0.03672425,0.03207811
1999,size_7,0.03850789,0.02454194
2003,size_7,0.05483582,0.03782418
2007,size_7,0.0514074,0.03642109
2011,size_7,0.04442474,0.02937703
2015,size_7,0.06584624,0.04449613
1951,size_8,0.08329726,0.02802751
1955,size_8,0.07890363,0.034800342
1959,size_8,0.06257821,0.039521376
1963,size_8,0.04924634,0.03195928
1967,size_8,0.03357358,0.01935069
1971,size_8,0.0233581,0.011744375
1975,size_8,0.01627941,0.007609087
1979,size_8,0.01997304,0.010854344
1983,size_8,0.01884514,0.011096261
1987,size_8,0.01635217,0.00864424
1991,size_8,0.0118565,0.007570452
1995,size_8,0.01079821,0.00812049
1999,size_8,0.01030911,0.006092551
2003,size_8,0.01509251,0.009200434
2007,size_8,0.01493017,0.00918198
2011,size_8,0.01388439,0.007863884
2015,size_8,0.01973059,0.011226919
1951,size_9,0.043202521,0.008800774
1955,size_9,0.040921234,0.010927831
1959,size_9,0.032377851,0.012562187
1963,size_9,0.024860811,0.010713063
1967,size_9,0.015660056,0.006705054
1971,size_9,0.009706084,0.003796529
1975,size_9,0.005809897,0.002077451
1979,size_9,0.005915967,0.002388105
1983,size_9,0.005031111,0.002329623
1987,size_9,0.004560519,0.00196879
1991,size_9,0.003161666,0.001650067
1995,size_9,0.002726286,0.001687648
1999,size_9,0.002386843,0.001228821
2003,size_9,0.003391368,0.001865623
2007,size_9,0.003391275,0.001795444
2011,size_9,0.003443527,0.001670954
2015,size_9,0.004948608,0.002365036
1951,size_10,0.019010511,0.002194934
1955,size_10,0.01800663,0.00272543
1959,size_10,0.014241883,0.003139195
1963,size_10,0.010882153,0.002741588
1967,size_10,0.0066577,0.00179142
1971,size_10,0.003847219,0.001023181
1975,size_10,0.002043434,0.000514447
1979,size_10,0.001754192,0.000493202
1983,size_10,0.001222684,0.000397822
1987,size_10,0.001015044,0.000333689
1991,size_10,0.00069062,0.000284199
1995,size_10,0.000562532,0.000276526
1999,size_10,0.000460443,0.000193834
2003,size_10,0.000606512,0.000289673
2007,size_10,0.000591468,0.000270624
2011,size_10,0.00062405,0.000259066
2015,size_10,0.000944698,0.000381139
1951,size_11,6.36E-03,3.91E-04
1955,size_11,6.02E-03,4.85E-04
1959,size_11,4.76E-03,5.59E-04
1963,size_11,3.64E-03,4.92E-04
1967,size_11,2.21E-03,3.29E-04
1971,size_11,1.24E-03,1.94E-04
1975,size_11,6.22E-04,9.69E-05
1979,size_11,4.78E-04,8.49E-05
1983,size_11,2.79E-04,5.68E-05
