display_year,region,catch,effort
1978/79,All Regions,518269,656497
1979/80,All Regions,497085,611363
1980/81,All Regions,573522,701951
1981/82,All Regions,518751,656718
1982/83,All Regions,484033,624706
1983/84,All Regions,432605,580849
1984/85,All Regions,402191,574028.5
1985/86,All Regions,357490,587221
1986/87,All Regions,359388,619924
1987/88,All Regions,373850,587985
1988/89,All Regions,318368,593183
1989/90,All Regions,337263,624670
1990/91,All Regions,323924,656721
1991/92,All Regions,410455,712855
1992/93,All Regions,418866,798588
1993/94,All Regions,458516,766179
1994/95,All Regions,442518,797315
1995/96,All Regions,423089,760845
1996/97,All Regions,404724,793501
1997/98,All Regions,466932,842328
1998/99,All Regions,515903,860665
1999/00,All Regions,521260,896879
2000/01,All Regions,525318,895141
2001/02,All Regions,438650,703621
2002/03,All Regions,430575,632933
2003/04,All Regions,468987,674265
2004/05,All Regions,418677,687516
2005/06,All Regions,369832,734767
2006/07,All Regions,347487,728778
2007/08,All Regions,299077,698786
2008/09,All Regions,242260,626126.7
2009/10,All Regions,239244,650354
2010/11,All Regions,254750,589679
2011/12,All Regions,242460,502675
2012/13,All Regions,266454,514842
2013/14,All Regions,280032,521535
2014/15,All Regions,224763,417905
2015/16,All Regions,226257,359411
1978/79,Apollo Bay,129083,97140
1979/80,Apollo Bay,132985,94660
1980/81,Apollo Bay,119506,103670
1981/82,Apollo Bay,126375,120346
1982/83,Apollo Bay,130422,107538
1983/84,Apollo Bay,104220,103528
1984/85,Apollo Bay,103106,113900.5
1985/86,Apollo Bay,103242,123172
1986/87,Apollo Bay,94810,123749
1987/88,Apollo Bay,74738,98122
1988/89,Apollo Bay,93840,112186
1989/90,Apollo Bay,82308,110904
1990/91,Apollo Bay,69281,100128
1991/92,Apollo Bay,68798,93654
1992/93,Apollo Bay,91635,109601
1993/94,Apollo Bay,120504,138585
1994/95,Apollo Bay,103592,131327
1995/96,Apollo Bay,77634,108894
1996/97,Apollo Bay,86493,136448
1997/98,Apollo Bay,107023,145232
1998/99,Apollo Bay,99770,138247
1999/00,Apollo Bay,106660,140476
2000/01,Apollo Bay,111142,141694
2001/02,Apollo Bay,97385,121154
2002/03,Apollo Bay,89605,102396
2003/04,Apollo Bay,94087,112619
2004/05,Apollo Bay,69873,105176
2005/06,Apollo Bay,51848,79738
2006/07,Apollo Bay,62530,97370
2007/08,Apollo Bay,55658,108770
2008/09,Apollo Bay,49504,105123
2009/10,Apollo Bay,46836,105992
2010/11,Apollo Bay,46378,97711
2011/12,Apollo Bay,46777,84006
2012/13,Apollo Bay,55579,91282
2013/14,Apollo Bay,51050,78881
2014/15,Apollo Bay,42117,68255
2015/16,Apollo Bay,51780,67978
1978/79,Warrnambool,144945,198983
1979/80,Warrnambool,136015,177966
1980/81,Warrnambool,111953,169692
1981/82,Warrnambool,112007,167242
1982/83,Warrnambool,91963,140359
1983/84,Warrnambool,124010,168588
1984/85,Warrnambool,114210,167735
1985/86,Warrnambool,85188,164950
1986/87,Warrnambool,88078,169932
1987/88,Warrnambool,112064,176546
1988/89,Warrnambool,68413,160817
1989/90,Warrnambool,63225,141527
1990/91,Warrnambool,68487,147975
1991/92,Warrnambool,93810,172120
1992/93,Warrnambool,107966,198781
1993/94,Warrnambool,100005,168042
1994/95,Warrnambool,87542,168535
1995/96,Warrnambool,82651,137319
1996/97,Warrnambool,87389,156714
1997/98,Warrnambool,88157,183555
1998/99,Warrnambool,160195,243570
1999/00,Warrnambool,129121,222744
2000/01,Warrnambool,135686,227478
2001/02,Warrnambool,109763,197660
2002/03,Warrnambool,101631,190766
2003/04,Warrnambool,99964,181045
2004/05,Warrnambool,109362,213827
2005/06,Warrnambool,110659,216222
2006/07,Warrnambool,86473,172185
2007/08,Warrnambool,80351,174606
2008/09,Warrnambool,75213,171328.7
2009/10,Warrnambool,71773,191851
2010/11,Warrnambool,60562,132248
2011/12,Warrnambool,57919,97453
2012/13,Warrnambool,73279,108259
2013/14,Warrnambool,85167,126761
2014/15,Warrnambool,81221,137387
2015/16,Warrnambool,75479,125268
1978/79,Portland,244241,360374
1979/80,Portland,228085,338737
1980/81,Portland,342063,428589
1981/82,Portland,280369,369130
1982/83,Portland,261648,376809
1983/84,Portland,204375,308733
1984/85,Portland,184875,292393
1985/86,Portland,169060,299099
1986/87,Portland,176500,326243
1987/88,Portland,187048,313317
1988/89,Portland,156115,320180
1989/90,Portland,191730,372239
1990/91,Portland,186156,408618
1991/92,Portland,247847,447081
1992/93,Portland,219265,490206
1993/94,Portland,238007,459552
1994/95,Portland,251384,497453
1995/96,Portland,262804,514632
1996/97,Portland,230842,500339
1997/98,Portland,271752,513541
1998/99,Portland,255938,478848
1999/00,Portland,285479,533659
2000/01,Portland,278490,525969
2001/02,Portland,231502,384807
2002/03,Portland,239339,339771
2003/04,Portland,274936,380601
2004/05,Portland,239442,368513
2005/06,Portland,207325,438807
2006/07,Portland,198484,459223
2007/08,Portland,163068,415410
2008/09,Portland,117543,349675
2009/10,Portland,120635,352511
2010/11,Portland,147810,359720
2011/12,Portland,137764,321216
2012/13,Portland,137596,315301
2013/14,Portland,143815,315893
2014/15,Portland,101425,212263
2015/16,Portland,98998,166165
