display_year,region,value
1978/79,All,1.045892491
1979/80,All,1.045332977
1980/81,All,1.027717916
1981/82,All,1.018024911
1982/83,All,1.039096728
1983/84,All,1.027154755
1984/85,All,1.045914726
1985/86,All,1.031564432
1986/87,All,1.014531513
1987/88,All,1.009170389
1988/89,All,0.974471799
1989/90,All,0.95749978
1990/91,All,0.943212106
1991/92,All,0.941529791
1992/93,All,0.951467301
1993/94,All,0.995038655
1994/95,All,0.997972384
1995/96,All,0.975764192
1996/97,All,0.98401279
1997/98,All,0.963123157
1998/99,All,0.918062754
1999/00,All,0.890920838
2000/01,All,0.891121978
2001/02,All,0.877017958
2002/03,All,0.888966778
2003/04,All,0.915666604
2004/05,All,0.924974191
2005/06,All,0.899990943
2006/07,All,0.873566274
2007/08,All,0.879055239
2008/09,All,0.902938002
2009/10,All,0.877440699
2010/11,All,0.838559557
2011/12,All,0.844239857
2012/13,All,0.884779834
2013/14,All,0.9118522
2014/15,All,0.956536402
2015/16,All,1.005023364
1978/79,Apollo Bay,1.034292237
1979/80,Apollo Bay,1.07311522
1980/81,Apollo Bay,0.999239714
1981/82,Apollo Bay,0.967479675
1982/83,Apollo Bay,0.985496183
1983/84,Apollo Bay,1.010870659
1984/85,Apollo Bay,1.037822878
1985/86,Apollo Bay,1.016093954
1986/87,Apollo Bay,0.988701068
1987/88,Apollo Bay,0.964550781
1988/89,Apollo Bay,0.999634536
1989/90,Apollo Bay,0.980843585
1990/91,Apollo Bay,0.93678554
1991/92,Apollo Bay,0.963868066
1992/93,Apollo Bay,0.969716776
1993/94,Apollo Bay,1.025852379
1994/95,Apollo Bay,1.047204724
1995/96,Apollo Bay,1.050944287
1996/97,Apollo Bay,1.065046203
1997/98,Apollo Bay,1.042945906
1998/99,Apollo Bay,0.965930979
1999/00,Apollo Bay,0.953730784
2000/01,Apollo Bay,0.954226961
2001/02,Apollo Bay,0.911672684
2002/03,Apollo Bay,0.923058934
2003/04,Apollo Bay,0.913675565
2004/05,Apollo Bay,0.93765638
2005/06,Apollo Bay,0.946181263
2006/07,Apollo Bay,0.922102804
2007/08,Apollo Bay,0.936269712
2008/09,Apollo Bay,0.985292539
2009/10,Apollo Bay,0.929697352
2010/11,Apollo Bay,0.872572276
2011/12,Apollo Bay,0.860962145
2012/13,Apollo Bay,0.914917541
2013/14,Apollo Bay,0.952793522
2014/15,Apollo Bay,1.033115672
2015/16,Apollo Bay,1.080668016
1978/79,Warrnambool,1.097775877
1979/80,Warrnambool,1.090348354
1980/81,Warrnambool,1.011835334
1981/82,Warrnambool,1.040833037
1982/83,Warrnambool,1.058053691
1983/84,Warrnambool,1.071993464
1984/85,Warrnambool,1.075206885
1985/86,Warrnambool,1.046980553
1986/87,Warrnambool,1.074355711
1987/88,Warrnambool,1.030905006
1988/89,Warrnambool,0.987460149
1989/90,Warrnambool,0.976932319
1990/91,Warrnambool,0.971254753
1991/92,Warrnambool,0.97251773
1992/93,Warrnambool,0.99508761
1993/94,Warrnambool,1.006761566
1994/95,Warrnambool,1.037983707
1995/96,Warrnambool,1.030195313
1996/97,Warrnambool,1.028436364
1997/98,Warrnambool,1.008341675
1998/99,Warrnambool,0.945788392
1999/00,Warrnambool,0.919852941
2000/01,Warrnambool,0.912004203
2001/02,Warrnambool,0.889451747
2002/03,Warrnambool,0.893218552
2003/04,Warrnambool,0.923887079
2004/05,Warrnambool,0.94689769
2005/06,Warrnambool,0.938078292
2006/07,Warrnambool,0.920925633
2007/08,Warrnambool,0.899957591
2008/09,Warrnambool,0.927455167
2009/10,Warrnambool,0.909039088
2010/11,Warrnambool,0.867650463
2011/12,Warrnambool,0.85974131
2012/13,Warrnambool,0.894010614
2013/14,Warrnambool,0.910478655
2014/15,Warrnambool,0.944958253
2015/16,Warrnambool,0.964251208
1978/79,Portland,1.023383003
1979/80,Portland,1.017372288
1980/81,Portland,1.034570228
1981/82,Portland,1.025489177
1982/83,Portland,1.052251068
1983/84,Portland,1.014611603
1984/85,Portland,1.021647201
1985/86,Portland,1.009036624
1986/87,Portland,0.990374016
1987/88,Portland,1.01256989
1988/89,Portland,0.971573795
1989/90,Portland,0.950457244
1990/91,Portland,0.934600319
1991/92,Portland,0.924147914
1992/93,Portland,0.929828121
1993/94,Portland,0.980354411
1994/95,Portland,0.968612521
1995/96,Portland,0.941055446
1996/97,Portland,0.946010326
1997/98,Portland,0.921530145
1998/99,Portland,0.889384908
1999/00,Portland,0.859181273
2000/01,Portland,0.860796438
2001/02,Portland,0.853897303
2002/03,Portland,0.871475612
2003/04,Portland,0.912399415
2004/05,Portland,0.906447293
2005/06,Portland,0.865168727
2006/07,Portland,0.835436562
2007/08,Portland,0.847696367
2008/09,Portland,0.851935172
2009/10,Portland,0.836995968
2010/11,Portland,0.815351195
2011/12,Portland,0.833122247
2012/13,Portland,0.870290456
2013/14,Portland,0.898419301
2014/15,Portland,0.929975124
2015/16,Portland,0.996527401
