display_year,year_type,region,data_type,value
1978/79,fin,Apollo Bay,catch,129083
1979/80,fin,Apollo Bay,catch,132985
1980/81,fin,Apollo Bay,catch,119506
1981/82,fin,Apollo Bay,catch,126375
1982/83,fin,Apollo Bay,catch,130422
1983/84,fin,Apollo Bay,catch,104220
1984/85,fin,Apollo Bay,catch,103106
1985/86,fin,Apollo Bay,catch,103242
1986/87,fin,Apollo Bay,catch,94810
1987/88,fin,Apollo Bay,catch,74738
1988/89,fin,Apollo Bay,catch,93840
1989/90,fin,Apollo Bay,catch,82308
1990/91,fin,Apollo Bay,catch,69281
1991/92,fin,Apollo Bay,catch,68798
1992/93,fin,Apollo Bay,catch,91635
1993/94,fin,Apollo Bay,catch,120504
1994/95,fin,Apollo Bay,catch,103592
1995/96,fin,Apollo Bay,catch,77634
1996/97,fin,Apollo Bay,catch,86493
1997/98,fin,Apollo Bay,catch,107023
1998/99,fin,Apollo Bay,catch,99770
1999/00,fin,Apollo Bay,catch,106660
2000/01,fin,Apollo Bay,catch,111142
2001/02,fin,Apollo Bay,catch,97385
2002/03,fin,Apollo Bay,catch,89605
2003/04,fin,Apollo Bay,catch,94087
2004/05,fin,Apollo Bay,catch,69873
2005/06,fin,Apollo Bay,catch,51848
2006/07,fin,Apollo Bay,catch,62530
2007/08,fin,Apollo Bay,catch,55658
2008/09,fin,Apollo Bay,catch,49504
2009/10,fin,Apollo Bay,catch,46836
2010/11,fin,Apollo Bay,catch,46378
2011/12,fin,Apollo Bay,catch,46777
2012/13,fin,Apollo Bay,catch,55579
2013/14,fin,Apollo Bay,catch,51050
2014/15,fin,Apollo Bay,catch,42117
2015/16,fin,Apollo Bay,catch,51780
1978/79,fin,Warrnambool,catch,144945
1979/80,fin,Warrnambool,catch,136015
1980/81,fin,Warrnambool,catch,111953
1981/82,fin,Warrnambool,catch,112007
1982/83,fin,Warrnambool,catch,91963
1983/84,fin,Warrnambool,catch,124010
1984/85,fin,Warrnambool,catch,114210
1985/86,fin,Warrnambool,catch,85188
1986/87,fin,Warrnambool,catch,88078
1987/88,fin,Warrnambool,catch,112064
1988/89,fin,Warrnambool,catch,68413
1989/90,fin,Warrnambool,catch,63225
1990/91,fin,Warrnambool,catch,68487
1991/92,fin,Warrnambool,catch,93810
1992/93,fin,Warrnambool,catch,107966
1993/94,fin,Warrnambool,catch,100005
1994/95,fin,Warrnambool,catch,87542
1995/96,fin,Warrnambool,catch,82651
1996/97,fin,Warrnambool,catch,87389
1997/98,fin,Warrnambool,catch,88157
1998/99,fin,Warrnambool,catch,160195
1999/00,fin,Warrnambool,catch,129121
2000/01,fin,Warrnambool,catch,135686
2001/02,fin,Warrnambool,catch,109763
2002/03,fin,Warrnambool,catch,101631
2003/04,fin,Warrnambool,catch,99964
2004/05,fin,Warrnambool,catch,109362
2005/06,fin,Warrnambool,catch,110659
2006/07,fin,Warrnambool,catch,86473
2007/08,fin,Warrnambool,catch,80351
2008/09,fin,Warrnambool,catch,75213
2009/10,fin,Warrnambool,catch,71773
2010/11,fin,Warrnambool,catch,60562
2011/12,fin,Warrnambool,catch,57919
2012/13,fin,Warrnambool,catch,73279
2013/14,fin,Warrnambool,catch,85167
2014/15,fin,Warrnambool,catch,81221
2015/16,fin,Warrnambool,catch,75479
1978/79,fin,Portland,catch,244241
1979/80,fin,Portland,catch,228085
1980/81,fin,Portland,catch,342063
1981/82,fin,Portland,catch,280369
1982/83,fin,Portland,catch,261648
1983/84,fin,Portland,catch,204375
1984/85,fin,Portland,catch,184875
1985/86,fin,Portland,catch,169060
1986/87,fin,Portland,catch,176500
1987/88,fin,Portland,catch,187048
1988/89,fin,Portland,catch,156115
1989/90,fin,Portland,catch,191730
1990/91,fin,Portland,catch,186156
1991/92,fin,Portland,catch,247847
1992/93,fin,Portland,catch,219265
1993/94,fin,Portland,catch,238007
1994/95,fin,Portland,catch,251384
1995/96,fin,Portland,catch,262804
1996/97,fin,Portland,catch,230842
1997/98,fin,Portland,catch,271752
1998/99,fin,Portland,catch,255938
1999/00,fin,Portland,catch,285479
2000/01,fin,Portland,catch,278490
2001/02,fin,Portland,catch,231502
2002/03,fin,Portland,catch,239339
2003/04,fin,Portland,catch,274936
2004/05,fin,Portland,catch,239442
2005/06,fin,Portland,catch,207325
2006/07,fin,Portland,catch,198484
2007/08,fin,Portland,catch,163068
2008/09,fin,Portland,catch,117543
2009/10,fin,Portland,catch,120635
2010/11,fin,Portland,catch,147810
2011/12,fin,Portland,catch,137764
2012/13,fin,Portland,catch,137596
2013/14,fin,Portland,catch,143815
2014/15,fin,Portland,catch,101425
2015/16,fin,Portland,catch,98998
2009/10,fin,All,TAC,240000
2010/11,fin,All,TAC,240000
2011/12,fin,All,TAC,240000
2012/13,fin,All,TAC,260000
2013/14,fin,All,TAC,260000
2014/15,fin,All,TAC,230000
2015/16,fin,All,TAC,230000
