display_year,region,value
1978/79,All,0.811995717
1979/80,All,0.798266956
1980/81,All,0.823659816
1981/82,All,0.786302243
1982/83,All,0.787242039
1983/84,All,0.746102878
1984/85,All,0.69393231
1985/86,All,0.632230919
1986/87,All,0.614175128
1987/88,All,0.635819051
1988/89,All,0.548146302
1989/90,All,0.540007244
1990/91,All,0.477508337
1991/92,All,0.573103223
1992/93,All,0.535808697
1993/94,All,0.606831966
1994/95,All,0.552398746
1995/96,All,0.558858801
1996/97,All,0.509192833
1997/98,All,0.568555573
1998/99,All,0.599443035
1999/00,All,0.590592936
2000/01,All,0.594189419
2001/02,All,0.664206593
2002/03,All,0.729276251
2003/04,All,0.712547547
2004/05,All,0.626253756
2005/06,All,0.528214524
2006/07,All,0.513098154
2007/08,All,0.457828877
2008/09,All,0.419391279
2009/10,All,0.377993133
2010/11,All,0.44035114
2011/12,All,0.488240762
2012/13,All,0.517998932
2013/14,All,0.544499201
2014/15,All,0.547885976
2015/16,All,0.641306836
1978/79,Apollo Bay,1.22310541
1979/80,Apollo Bay,1.331408554
1980/81,Apollo Bay,1.112060481
1981/82,Apollo Bay,1.058474929
1982/83,Apollo Bay,1.18186225
1983/84,Apollo Bay,1.008027631
1984/85,Apollo Bay,0.910899747
1985/86,Apollo Bay,0.818006145
1986/87,Apollo Bay,0.757104861
1987/88,Apollo Bay,0.724443809
1988/89,Apollo Bay,0.760644138
1989/90,Apollo Bay,0.713542998
1990/91,Apollo Bay,0.660977529
1991/92,Apollo Bay,0.704462254
1992/93,Apollo Bay,0.835948976
1993/94,Apollo Bay,0.897182441
1994/95,Apollo Bay,0.78037269
1995/96,Apollo Bay,0.758899486
1996/97,Apollo Bay,0.654064555
1997/98,Apollo Bay,0.767640396
1998/99,Apollo Bay,0.778420291
1999/00,Apollo Bay,0.791733723
2000/01,Apollo Bay,0.799525098
2001/02,Apollo Bay,0.847588538
2002/03,Apollo Bay,0.933565411
2003/04,Apollo Bay,0.855649666
2004/05,Apollo Bay,0.685125436
2005/06,Apollo Bay,0.66977089
2006/07,Apollo Bay,0.71527021
2007/08,Apollo Bay,0.59890072
2008/09,Apollo Bay,0.535611074
2009/10,Apollo Bay,0.470355688
2010/11,Apollo Bay,0.507002296
2011/12,Apollo Bay,0.582603787
2012/13,Apollo Bay,0.626575651
2013/14,Apollo Bay,0.691948365
2014/15,Apollo Bay,0.67185943
2015/16,Apollo Bay,0.801240104
1978/79,Portland,0.686326972
1979/80,Portland,0.638929276
1980/81,Portland,0.769608912
1981/82,Portland,0.710298382
1982/83,Portland,0.696368947
1983/84,Portland,0.671218171
1984/85,Portland,0.623031157
1985/86,Portland,0.570742029
1986/87,Portland,0.569629795
1987/88,Portland,0.643856784
1988/89,Portland,0.526530097
1989/90,Portland,0.518097568
1990/91,Portland,0.443121579
1991/92,Portland,0.561410491
1992/93,Portland,0.456095867
1993/94,Portland,0.518420104
1994/95,Portland,0.509802853
1995/96,Portland,0.515931714
1996/97,Portland,0.480248784
1997/98,Portland,0.543455261
1998/99,Portland,0.525207644
1999/00,Portland,0.534703597
2000/01,Portland,0.530182593
2001/02,Portland,0.629996149
2002/03,Portland,0.726187346
2003/04,Portland,0.725918065
2004/05,Portland,0.66805605
2005/06,Portland,0.46913645
2006/07,Portland,0.435742243
2007/08,Portland,0.394897706
2008/09,Portland,0.347553837
2009/10,Portland,0.334519798
2010/11,Portland,0.402927376
2011/12,Portland,0.41164642
2012/13,Portland,0.413579677
2013/14,Portland,0.440294294
2014/15,Portland,0.461913751
2015/16,Portland,0.588504432
1978/79,Warrnambool,0.707237275
1979/80,Warrnambool,0.708485957
1980/81,Warrnambool,0.650918525
1981/82,Warrnambool,0.634160994
1982/83,Warrnambool,0.685843214
1983/84,Warrnambool,0.708985736
1984/85,Warrnambool,0.639105717
1985/86,Warrnambool,0.534525013
1986/87,Warrnambool,0.564291536
1987/88,Warrnambool,0.576713959
1988/89,Warrnambool,0.379734327
1989/90,Warrnambool,0.425586281
1990/91,Warrnambool,0.418952128
1991/92,Warrnambool,0.50957205
1992/93,Warrnambool,0.524703195
1993/94,Warrnambool,0.57565154
1994/95,Warrnambool,0.479605355
1995/96,Warrnambool,0.548427574
1996/97,Warrnambool,0.466366109
1997/98,Warrnambool,0.450005791
1998/99,Warrnambool,0.631886888
1999/00,Warrnambool,0.561971474
2000/01,Warrnambool,0.574229603
2001/02,Warrnambool,0.578574845
2002/03,Warrnambool,0.581684115
2003/04,Warrnambool,0.55871258
2004/05,Warrnambool,0.509426746
2005/06,Warrnambool,0.551449532
2006/07,Warrnambool,0.522855539
2007/08,Warrnambool,0.48092026
2008/09,Warrnambool,0.453955778
2009/10,Warrnambool,0.389262939
2010/11,Warrnambool,0.477599509
2011/12,Warrnambool,0.614590934
2012/13,Warrnambool,0.69281559
2013/14,Warrnambool,0.667352555
2014/15,Warrnambool,0.594615835
2015/16,Warrnambool,0.598439267
