display_year,region,value
1978/79,All,73.19647738
1979/80,All,71.50737169
1980/81,All,70.70542128
1981/82,All,66.80155855
1982/83,All,63.47780997
1983/84,All,59.88819946
1984/85,All,56.19307915
1985/86,All,52.36246603
1986/87,All,49.77861443
1987/88,All,46.47061642
1988/89,All,43.24953116
1989/90,All,42.68573687
1990/91,All,43.54879188
1991/92,All,46.48522839
1992/93,All,47.77127145
1993/94,All,49.06073029
1994/95,All,49.10380713
1995/96,All,48.51382515
1996/97,All,48.89715214
1997/98,All,51.75920044
1998/99,All,54.48613547
1999/00,All,56.59177716
2000/01,All,57.86093106
2001/02,All,57.14285714
2002/03,All,56.61872391
2003/04,All,54.54932749
2004/05,All,50.43216797
2005/06,All,46.4607486
2006/07,All,42.79010808
2007/08,All,38.92192132
2008/09,All,36.08795836
2009/10,All,36.21586053
2010/11,All,37.69072059
2011/12,All,39.46920599
2012/13,All,41.38432278
2013/14,All,42.02440294
2014/15,All,41.65151307
2015/16,All,41.57408861
