display_year,region,subgroup,sex,value
2001/02,All,Adult,Female,0.482280431
2002/03,All,Adult,Female,0.491335942
2003/04,All,Adult,Female,0.462032086
2004/05,All,Adult,Female,0.435546875
2005/06,All,Adult,Female,0.314300152
2006/07,All,Adult,Female,0.372265786
2007/08,All,Adult,Female,0.291852452
2008/09,All,Adult,Female,0.264354067
2009/10,All,Adult,Female,0.234660926
2010/11,All,Adult,Female,0.282733224
2011/12,All,Adult,Female,0.318918919
2012/13,All,Adult,Female,0.335279399
2013/14,All,Adult,Female,0.4437944
2014/15,All,Adult,Female,0.326017375
2015/16,All,Adult,Female,0.351004016
2001/02,All,Adult,Male,0.687211094
2002/03,All,Adult,Male,0.591950811
2003/04,All,Adult,Male,0.557219251
2004/05,All,Adult,Male,0.457519531
2005/06,All,Adult,Male,0.341081354
2006/07,All,Adult,Male,0.410647957
2007/08,All,Adult,Male,0.391974058
2008/09,All,Adult,Male,0.421052632
2009/10,All,Adult,Male,0.307857912
2010/11,All,Adult,Male,0.470949264
2011/12,All,Adult,Male,0.561330561
2012/13,All,Adult,Male,0.56088407
2013/14,All,Adult,Male,0.508984538
2014/15,All,Adult,Male,0.345221765
2015/16,All,Adult,Male,0.379116466
2001/02,All,Juvenile,Female,1.71443246
2002/03,All,Juvenile,Female,1.585243153
2003/04,All,Juvenile,Female,1.202139037
2004/05,All,Juvenile,Female,1.143554688
2005/06,All,Juvenile,Female,1.085396665
2006/07,All,Juvenile,Female,1.12794057
2007/08,All,Juvenile,Female,0.791244426
2008/09,All,Juvenile,Female,0.942185008
2009/10,All,Juvenile,Female,1.014711159
2010/11,All,Juvenile,Female,1.155482815
2011/12,All,Juvenile,Female,0.976715177
2012/13,All,Juvenile,Female,0.930775646
2013/14,All,Juvenile,Female,0.696615127
2014/15,All,Juvenile,Female,0.477366255
2015/16,All,Juvenile,Female,0.477108434
2001/02,All,Juvenile,Male,1.33076528
2002/03,All,Juvenile,Male,1.261598658
2003/04,All,Juvenile,Male,0.937967914
2004/05,All,Juvenile,Male,0.848144531
2005/06,All,Juvenile,Male,0.933299646
2006/07,All,Juvenile,Male,0.915806851
2007/08,All,Juvenile,Male,0.5804621
2008/09,All,Juvenile,Male,0.774322169
2009/10,All,Juvenile,Male,0.874058127
2010/11,All,Juvenile,Male,0.996726678
2011/12,All,Juvenile,Male,0.717255717
2012/13,All,Juvenile,Male,0.580483736
2013/14,All,Juvenile,Male,0.474717927
2014/15,All,Juvenile,Male,0.37037037
2015/16,All,Juvenile,Male,0.375100402
2001/02,Apollo Bay,Adult,Female,0.74433657
2002/03,Apollo Bay,Adult,Female,0.961130742
2003/04,Apollo Bay,Adult,Female,0.843678161
2004/05,Apollo Bay,Adult,Female,0.671403197
2005/06,Apollo Bay,Adult,Female,0.542435424
2006/07,Apollo Bay,Adult,Female,0.589219331
2007/08,Apollo Bay,Adult,Female,0.46025878
2008/09,Apollo Bay,Adult,Female,0.346405229
2009/10,Apollo Bay,Adult,Female,0.322203673
2010/11,Apollo Bay,Adult,Female,0.432612313
2011/12,Apollo Bay,Adult,Female,0.473333333
2012/13,Apollo Bay,Adult,Female,0.421666667
2013/14,Apollo Bay,Adult,Female,0.65
2014/15,Apollo Bay,Adult,Female,0.396666667
2015/16,Apollo Bay,Adult,Female,0.516975309
2001/02,Apollo Bay,Adult,Male,0.974110032
2002/03,Apollo Bay,Adult,Male,0.844522968
2003/04,Apollo Bay,Adult,Male,0.740229885
2004/05,Apollo Bay,Adult,Male,0.559502664
2005/06,Apollo Bay,Adult,Male,0.477859779
2006/07,Apollo Bay,Adult,Male,0.513011152
2007/08,Apollo Bay,Adult,Male,0.46025878
2008/09,Apollo Bay,Adult,Male,0.336601307
2009/10,Apollo Bay,Adult,Male,0.293823038
2010/11,Apollo Bay,Adult,Male,0.622296173
2011/12,Apollo Bay,Adult,Male,0.618333333
2012/13,Apollo Bay,Adult,Male,0.638333333
2013/14,Apollo Bay,Adult,Male,0.648333333
2014/15,Apollo Bay,Adult,Male,0.466666667
2015/16,Apollo Bay,Adult,Male,0.461419753
2001/02,Apollo Bay,Juvenile,Female,1.566343042
2002/03,Apollo Bay,Juvenile,Female,1.169611307
2003/04,Apollo Bay,Juvenile,Female,0.926436782
2004/05,Apollo Bay,Juvenile,Female,0.772646536
2005/06,Apollo Bay,Juvenile,Female,0.645756458
2006/07,Apollo Bay,Juvenile,Female,0.986988848
2007/08,Apollo Bay,Juvenile,Female,0.898336414
2008/09,Apollo Bay,Juvenile,Female,0.735294118
2009/10,Apollo Bay,Juvenile,Female,0.729549249
2010/11,Apollo Bay,Juvenile,Female,0.886855241
