Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Nov,Dec
2004,,,,0.69,0.49,0.33,0.31,0.38,0.3,0.78,0.81
2005,0.85,0.82,0.73,0.59,0.39,0.27,0.25,0.34,0.31,0.6,0.59
2006,0.74,0.67,0.53,0.4,0.27,0.16,0.26,0.25,0.26,0.47,0.57
2007,0.56,0.64,0.54,0.41,0.25,,,0.28,0.26,0.57,0.49
2008,0.56,0.52,0.47,0.32,0.25,,,0.18,0.22,0.4,0.5
2009,0.51,0.44,0.4,0.25,0.2,0.12,0.18,0.19,0.15,0.4,0.4
2010,0.45,0.45,0.35,0.3,0.28,0.21,0.22,0.27,0.26,0.49,0.48
2011,0.59,0.56,0.5,0.4,0.29,0.22,0.36,0.32,0.34,0.57,0.61
2012,0.64,0.58,0.48,0.4,0.36,0.29,0.33,0.41,0.41,0.71,0.71
2013,0.69,0.6,0.56,0.42,0.33,0.28,0.41,0.35,0.34,0.58,0.67
2014,0.68,0.59,0.56,0.44,0.37,0.21,0.34,0.44,0.41,0.62,0.7
2015,0.66,0.68,0.45,0.49,0.41,0.32,0.28,0.44,0.51,0.61,0.89
2016,0.77,0.71,0.68,0.5,0.5,0.23,0.33,0.48,0.48,0.6,0.8
2017,0.83,0.65,0.69,0.68,0.47,0.37,0.4,,,,
