display_year,region,subgroup,sex,value
2004/05,All,Adult,Female,0.186517181
2005/06,All,Adult,Female,0.295496936
2006/07,All,Adult,Female,0.254506549
2007/08,All,Adult,Female,0.171675273
2008/09,All,Adult,Female,0.217688865
2009/10,All,Adult,Female,0.184806659
2010/11,All,Adult,Female,0.235960415
2011/12,All,Adult,Female,0.373890168
2012/13,All,Adult,Female,0.34824387
2013/14,All,Adult,Female,0.406721241
2014/15,All,Adult,Female,0.351544715
2015/16,All,Adult,Female,0.353228621
2004/05,All,Adult,Male,0.316977286
2005/06,All,Adult,Male,0.299960032
2006/07,All,Adult,Male,0.292504215
2007/08,All,Adult,Male,0.271819182
2008/09,All,Adult,Male,0.259454242
2009/10,All,Adult,Male,0.262248446
2010/11,All,Adult,Male,0.418504829
2011/12,All,Adult,Male,0.523512003
2012/13,All,Adult,Male,0.496355202
2013/14,All,Adult,Male,0.478242137
2014/15,All,Adult,Male,0.345365854
2015/16,All,Adult,Male,0.319022688
2004/05,All,Juvenile,Female,0.143564356
2005/06,All,Juvenile,Female,0.345723421
2006/07,All,Juvenile,Female,0.308131241
2007/08,All,Juvenile,Female,0.206552104
2008/09,All,Juvenile,Female,0.228217952
2009/10,All,Juvenile,Female,0.296069961
2010/11,All,Juvenile,Female,0.320615238
2011/12,All,Juvenile,Female,0.594870109
2012/13,All,Juvenile,Female,0.41815772
2013/14,All,Juvenile,Female,0.331753555
2014/15,All,Juvenile,Female,0.329430894
2015/16,All,Juvenile,Female,0.189179756
2004/05,All,Juvenile,Male,0.145020384
2005/06,All,Juvenile,Male,0.227617906
2006/07,All,Juvenile,Male,0.225521982
2007/08,All,Juvenile,Male,0.16617286
2008/09,All,Juvenile,Male,0.139334913
2009/10,All,Juvenile,Male,0.250974608
2010/11,All,Juvenile,Male,0.338738524
2011/12,All,Juvenile,Male,0.428148635
2012/13,All,Juvenile,Male,0.318091451
2013/14,All,Juvenile,Male,0.229211547
2014/15,All,Juvenile,Male,0.162276423
2015/16,All,Juvenile,Male,0.088307155
