display_year,region,value
1978/79,All,0.922409161
1979/80,All,0.924020736
1980/81,All,0.630908955
1981/82,All,0.833886092
1982/83,All,0.846814819
1983/84,All,0.617987971
1984/85,All,0.595615596
1985/86,All,0.781560878
1986/87,All,0.904261203
1987/88,All,1.67181854
1988/89,All,1.267519712
1989/90,All,0.929394802
1990/91,All,0.84222654
1991/92,All,1.384341466
1992/93,All,0.783547927
1993/94,All,0.998590586
1994/95,All,2.475980174
1995/96,All,1.146963852
1996/97,All,1.551008493
1997/98,All,0.88658033
1998/99,All,1.437178926
1999/00,All,0.921370476
2000/01,All,0.763269697
2001/02,All,0.531257118
2002/03,All,0.842965878
2003/04,All,0.862401547
2004/05,All,0.418353981
2005/06,All,0.571346493
2006/07,All,1.048831978
2007/08,All,1.215892545
2008/09,All,0.550552146
2009/10,All,0.838089864
2010/11,All,0.615566092
2011/12,All,0.583151375
2012/13,All,0.522946347
2013/14,All,0.608434648
2014/15,All,1.02030104
2015/16,All,1.02030104
