Quota Year,Period,TACC (t),TACC Caught (t),TACC Caught (%),Number of months fished,Number of active licenses,Number of vessels
2001/02,1 Nov - 31 Mar,320,,,,,
2002/03,1 Apr - 31 Mar,450,440,98,12,79,83
2003/04,1 Apr - 31 Mar,450,436,97,12,80,79
2004/05,1 Apr - 31 Mar,450,421,94,12,79,86
2005/06,1 Apr - 31 Mar,450,405,90,12,75,77
2006/07,1 Apr - 31 Mar,450,329,73,12,71,68
2007/08,1 Apr - 31 Mar,380,319,84,12,68,64
2008/09,1 Apr - 31 Mar,320,244,76,12,61,60
2009,1 Apr - 30 Jun,55.2,36,64,3,54,53
2009/10,1 Jul - 30 Jun,240,230,96,12,54,55
2010/11,1 Jul - 30 Jun,240,237,99,12,54,55
2011/12,1 Jul - 30 Jun,240,237,99,12,51,54
2012/13,1 Jul - 30 Jun,260,258,99,12,47,46
2013/14,1 Jul - 30 Jun,260,260,100,12,48,48
2014/15,1 Jul - 30 Jun,230,230,100,12,48,47
2015/16,1 Jul - 30 Jun,230,,,,,
