year,display_year,year_type,region,fleet,species,catch
1978,1978/79,fin,Apollo Bay,Pot,Lobster,142697
1979,1979/80,fin,Apollo Bay,Pot,Lobster,136909
1980,1980/81,fin,Apollo Bay,Pot,Lobster,122364
1981,1981/82,fin,Apollo Bay,Pot,Lobster,137929
1982,1982/83,fin,Apollo Bay,Pot,Lobster,136671
1983,1983/84,fin,Apollo Bay,Pot,Lobster,104756
1984,1984/85,fin,Apollo Bay,Pot,Lobster,111414
1985,1985/86,fin,Apollo Bay,Pot,Lobster,103024
1986,1986/87,fin,Apollo Bay,Pot,Lobster,100550
1987,1987/88,fin,Apollo Bay,Pot,Lobster,74914
1988,1988/89,fin,Apollo Bay,Pot,Lobster,93210
1989,1989/90,fin,Apollo Bay,Pot,Lobster,81530
1990,1990/91,fin,Apollo Bay,Pot,Lobster,71873
1991,1991/92,fin,Apollo Bay,Pot,Lobster,67535
1992,1992/93,fin,Apollo Bay,Pot,Lobster,88426
1993,1993/94,fin,Apollo Bay,Pot,Lobster,120897
1994,1994/95,fin,Apollo Bay,Pot,Lobster,106519
1995,1995/96,fin,Apollo Bay,Pot,Lobster,75255
1996,1996/97,fin,Apollo Bay,Pot,Lobster,86009
1997,1997/98,fin,Apollo Bay,Pot,Lobster,106258
1998,1998/99,fin,Apollo Bay,Pot,Lobster,96967
1999,1999/00,fin,Apollo Bay,Pot,Lobster,100954
2000,2000/01,fin,Apollo Bay,Pot,Lobster,118556
2001,2001/02,fin,Apollo Bay,Pot,Lobster,97313
2002,2002/03,fin,Apollo Bay,Pot,Lobster,90714
2003,2003/04,fin,Apollo Bay,Pot,Lobster,94753
2004,2004/05,fin,Apollo Bay,Pot,Lobster,73008
2005,2005/06,fin,Apollo Bay,Pot,Lobster,48112
2006,2006/07,fin,Apollo Bay,Pot,Lobster,65011
2007,2007/08,fin,Apollo Bay,Pot,Lobster,58040
2008,2008/09,fin,Apollo Bay,Pot,Lobster,50419
2009,2009/10,fin,Apollo Bay,Pot,Lobster,44937
2010,2010/11,fin,Apollo Bay,Pot,Lobster,42615
2011,2011/12,fin,Apollo Bay,Pot,Lobster,48056
2012,2012/13,fin,Apollo Bay,Pot,Lobster,54248
2013,2013/14,fin,Apollo Bay,Pot,Lobster,48452
2014,2014/15,fin,Apollo Bay,Pot,Lobster,40096
2015,2015/16,fin,Apollo Bay,Pot,Lobster,51018
1978,1978/79,fin,Warrnambool,Pot,Lobster,143448
1979,1979/80,fin,Warrnambool,Pot,Lobster,140935
1980,1980/81,fin,Warrnambool,Pot,Lobster,116028
1981,1981/82,fin,Warrnambool,Pot,Lobster,111701
1982,1982/83,fin,Warrnambool,Pot,Lobster,92037
1983,1983/84,fin,Warrnambool,Pot,Lobster,124345
1984,1984/85,fin,Warrnambool,Pot,Lobster,114314
1985,1985/86,fin,Warrnambool,Pot,Lobster,85806
1986,1986/87,fin,Warrnambool,Pot,Lobster,84449
1987,1987/88,fin,Warrnambool,Pot,Lobster,118933
1988,1988/89,fin,Warrnambool,Pot,Lobster,67236
1989,1989/90,fin,Warrnambool,Pot,Lobster,64715
1990,1990/91,fin,Warrnambool,Pot,Lobster,65936
